date,t_mean,t_max,ghi,north,east,south,west
2025-07-07,30.060000,39.980000,8.384200,2.311613,4.195157,2.026318,4.445116
2025-07-08,29.720000,39.440000,8.439800,2.349517,4.572999,2.032882,4.191204
2025-07-09,29.350000,38.640000,8.152100,2.284076,4.191883,2.180284,3.845995
2025-07-10,30.750000,40.270000,7.927200,2.318293,3.388443,2.321631,4.270503
2025-07-11,30.280000,39.010000,8.041900,2.205766,3.726365,2.294717,3.896712
2025-07-12,29.990000,38.450000,7.872500,2.356485,3.400558,2.406453,4.190196
2025-07-13,29.300000,38.070000,8.240400,2.190321,4.133526,2.161627,4.083228
2025-07-14,28.670000,37.270000,7.626700,2.499297,3.216514,2.624777,4.100122
2025-07-15,29.210000,37.490000,7.855700,2.183861,3.355189,2.305002,4.083565
2025-07-16,31.530000,39.720000,8.133100,2.110592,3.606145,2.157775,4.409012
2025-07-17,32.630000,40.740000,7.981400,2.111804,3.941004,2.206438,3.922296
2025-07-18,32.280000,40.050000,8.037600,2.080153,3.784261,2.176450,4.213328
2025-07-19,30.550000,38.750000,7.898600,2.110780,4.179679,2.209469,3.765201
2025-07-20,30.080000,38.700000,7.899100,2.131070,3.577306,2.301409,4.213007
2025-07-21,30.820000,38.980000,7.805000,2.066519,3.391358,2.290220,4.225323
2025-07-22,32.430000,40.960000,7.949300,2.001296,3.884613,2.219383,4.016264
2025-07-23,33.380000,42.140000,7.927900,2.177429,3.722736,2.379302,4.340501
2025-07-24,33.080000,41.720000,7.913800,2.167570,3.827803,2.412990,4.209716
2025-07-25,33.030000,42.030000,7.426800,2.134083,3.062311,2.446933,4.220063
2025-07-26,33.400000,43.040000,7.687900,2.111431,3.227534,2.493540,4.253988
2025-07-27,33.790000,42.660000,7.601000,2.032410,3.500277,2.420105,3.915154
2025-07-28,32.780000,41.390000,7.663700,2.242427,3.380492,2.624802,4.352061
2025-07-29,31.340000,40.130000,7.377100,2.306708,3.112662,2.739265,3.922881
2025-07-30,29.960000,38.030000,7.645400,2.306001,3.654796,2.705432,4.099549
2025-07-31,29.450000,37.000000,7.385000,2.499773,3.691589,2.879306,4.028311
2025-08-01,29.360000,36.830000,7.174600,2.749578,3.910774,2.990442,4.041262
2025-08-02,29.760000,36.610000,7.176200,2.726502,3.779112,3.052217,4.122861
2025-08-03,30.240000,37.240000,7.513000,2.227018,3.372588,2.772768,4.243314
2025-08-04,29.980000,36.930000,7.324600,2.404487,3.471850,2.945176,3.985801
2025-08-05,29.600000,37.220000,7.079800,2.454191,3.345734,2.948037,3.832251
2025-08-06,29.570000,38.860000,7.589800,2.010230,3.186825,2.770107,4.108043
2025-08-07,28.770000,37.250000,7.483900,2.204129,3.157949,2.906420,4.112908
2025-08-08,30.030000,37.910000,7.192300,2.219461,3.286851,2.881751,3.783549
2025-08-09,31.500000,39.670000,7.377100,1.969141,3.514122,2.798180,3.575376
2025-08-10,33.210000,41.700000,7.179100,2.024934,3.451160,2.798423,3.544110
2025-08-11,33.620000,42.280000,6.928800,2.125855,3.202415,2.880609,3.516943
2025-08-12,34.070000,43.330000,6.662600,2.238557,3.100807,2.926526,3.361877
2025-08-13,34.430000,44.520000,6.515500,2.238828,2.981513,2.925372,3.523431
2025-08-14,33.620000,43.940000,6.815800,2.102951,3.025660,2.939163,3.675689
2025-08-15,32.450000,41.580000,6.895700,2.090370,3.090603,2.959892,3.659777
2025-08-16,30.130000,37.940000,6.913000,2.147257,3.234316,2.995550,3.673961
2025-08-17,29.350000,37.870000,7.303900,2.013062,3.675922,2.998542,4.208475
2025-08-18,31.010000,39.770000,7.257800,1.715885,3.441853,2.903224,3.965139
2025-08-19,33.460000,41.490000,7.016600,1.825538,3.315332,2.951283,3.560357
2025-08-20,30.710000,38.120000,7.319500,1.704337,3.727703,2.976438,3.754598
2025-08-21,30.570000,38.540000,7.137100,1.970092,3.267943,3.133422,3.979183
2025-08-22,30.650000,39.320000,6.859700,1.888834,2.837273,3.071180,3.796237
2025-08-23,31.060000,40.800000,6.926200,1.637272,3.000924,3.004551,4.004244
2025-08-24,30.570000,40.140000,7.269800,1.814554,3.342476,3.204800,4.167084
2025-08-25,29.220000,37.340000,7.201900,1.746489,3.693249,3.184307,3.685438
2025-08-26,28.560000,36.540000,7.133500,1.801097,3.699854,3.207043,3.773253
2025-08-27,27.850000,36.450000,6.981600,1.832542,3.335779,3.226634,4.228082
2025-08-28,28.460000,35.530000,6.908400,1.762322,3.910375,3.198735,3.561130
2025-08-29,29.350000,36.790000,7.178600,1.511843,4.065860,3.269146,3.724248
2025-08-30,29.260000,37.430000,6.975600,1.729014,3.856403,3.329363,3.470185
2025-08-31,29.420000,38.690000,7.077600,1.537630,3.390729,3.345120,3.945961
2025-09-01,30.670000,39.270000,7.152200,1.513817,3.563166,3.407593,3.965804
2025-09-02,29.120000,38.340000,7.027700,1.518042,3.318574,3.437057,4.049020
2025-09-03,28.240000,36.330000,7.059400,1.525241,4.095993,3.473172,3.816237
2025-09-04,29.150000,37.260000,6.671800,1.775281,3.562576,3.394321,3.707463
2025-09-05,29.840000,38.440000,6.757000,1.474283,3.348801,3.452115,3.668295
2025-09-06,28.960000,36.680000,6.609600,1.839784,3.145269,3.503896,3.711714
2025-09-07,28.380000,35.570000,6.450700,1.839396,3.723419,3.420997,3.253266
2025-09-08,27.720000,34.780000,6.492200,1.775151,3.574667,3.529046,3.611167
2025-09-09,26.990000,34.550000,6.654500,1.864755,3.686901,3.666709,3.651478
2025-09-10,27.180000,34.460000,6.657100,1.592986,3.784895,3.668674,3.559302
2025-09-11,27.560000,35.760000,6.718800,1.390096,3.499614,3.733582,3.598335
2025-09-12,27.930000,37.180000,6.692400,1.359214,3.558689,3.792209,3.482470
2025-09-13,28.090000,37.260000,6.639600,1.303573,3.180207,3.846669,3.728774
2025-09-14,28.690000,38.070000,6.412300,1.415098,2.841149,3.759727,3.604274
2025-09-15,27.500000,36.000000,6.624500,1.464416,3.654656,3.902708,3.350359
2025-09-16,26.650000,33.900000,5.945300,1.991212,3.815529,3.556194,2.948291
2025-09-17,27.490000,34.880000,6.486200,1.516898,3.510875,3.908857,3.536502
2025-09-18,27.640000,36.290000,6.424800,1.454967,3.058587,3.966738,3.652423
2025-09-19,27.270000,35.060000,6.411800,1.377986,3.397461,4.046120,3.432190
2025-09-20,26.920000,34.420000,6.141400,1.832263,4.045795,3.926525,3.267763
2025-09-21,26.250000,33.560000,6.015400,1.673974,3.840499,3.878188,3.073316
2025-09-22,25.970000,32.660000,6.099600,1.607922,3.622530,3.908946,3.002834
2025-09-23,26.420000,33.870000,6.031900,1.557142,2.992376,3.887031,3.282627
2025-09-24,25.470000,33.030000,5.770600,1.500876,3.698239,3.872073,2.322787
2025-09-25,25.010000,32.380000,6.244300,1.481005,3.686504,4.303174,3.557447
2025-09-26,26.160000,34.050000,5.962300,1.453523,3.223937,4.038722,3.249181
2025-09-27,26.300000,34.550000,5.798200,1.501888,2.642960,3.963972,3.261851
2025-09-28,26.410000,34.600000,5.744900,1.392620,2.673194,4.011281,3.415595
2025-09-29,26.390000,35.220000,6.076300,1.244916,3.346682,4.402325,3.216651
2025-09-30,26.990000,35.310000,6.038200,1.208114,3.357135,4.466776,3.323647
2025-10-01,25.450000,33.720000,6.087100,1.115394,3.506945,4.628139,3.313451
2025-10-02,27.830000,37.050000,5.859400,1.232257,3.397822,4.402049,3.001997
2025-10-03,26.630000,34.580000,5.557200,1.586095,3.287842,3.937251,2.604827
2025-10-04,25.960000,33.220000,5.727100,1.405748,3.115921,4.280723,2.911757
2025-10-05,24.690000,31.910000,5.059200,1.589628,3.277408,3.731538,2.586684
2025-10-06,23.470000,30.670000,5.695200,1.342835,3.826847,4.554918,2.816760
2025-10-07,24.430000,31.860000,5.725000,1.299054,3.196996,4.533693,3.008998
2025-10-08,25.270000,32.540000,5.111300,1.577749,2.741798,3.723636,2.398804
2025-10-09,23.200000,29.490000,5.245000,1.581859,2.285492,3.890126,3.055555
2025-10-10,22.880000,29.860000,5.164600,1.494383,3.725240,4.175131,2.727843
2025-10-11,22.840000,30.310000,4.670200,1.556601,3.291834,3.485673,2.075409
2025-10-12,22.660000,30.240000,5.206800,1.309439,3.220709,4.419377,2.990781
2025-10-13,22.690000,30.510000,5.570900,1.060256,3.170433,5.007798,3.234790
2025-10-14,22.990000,30.520000,4.774600,1.535241,3.111325,3.799803,2.692048
2025-10-15,22.770000,29.880000,4.744800,1.494384,2.587372,3.860464,3.024309
2025-10-16,22.800000,30.380000,5.157600,1.279253,2.754947,4.470137,2.957130
2025-10-17,22.420000,30.270000,4.861700,1.435336,2.645977,4.051008,3.014644
2025-10-18,22.040000,30.910000,5.442500,1.019736,3.072398,5.184142,3.106176
2025-10-19,22.760000,31.610000,5.133800,1.184896,2.647779,4.665556,2.977423
2025-10-20,24.100000,33.450000,5.077700,1.214419,2.603736,4.608529,2.805138
2025-10-21,24.770000,33.670000,5.081800,1.174183,2.583624,4.709952,2.906704
2025-10-22,25.310000,34.680000,5.085600,1.152998,2.738529,4.779732,2.784911
2025-10-23,25.220000,34.160000,4.875600,1.195661,2.547480,4.531808,2.709508
2025-10-24,24.960000,33.010000,5.039800,1.020554,2.835100,5.060519,2.824335
2025-10-25,25.250000,33.360000,4.982600,1.015828,2.839212,5.029158,2.716570
2025-10-26,24.130000,31.190000,4.621200,1.164702,2.660658,4.482552,2.462894
2025-10-27,23.800000,31.070000,4.684300,1.212762,2.619806,4.601138,2.866251
2025-10-28,23.050000,30.960000,4.865500,1.031306,2.695269,5.050202,2.831833
2025-10-29,22.570000,30.980000,4.813200,0.986949,2.804914,5.106411,2.731706
2025-10-30,22.710000,29.780000,4.497100,1.234943,2.784334,4.501270,2.773558
2025-10-31,23.650000,31.800000,4.346200,1.184013,2.183611,4.303866,2.726759
2025-11-01,23.860000,32.420000,4.082900,1.381387,2.479969,3.812072,1.937951
2025-11-02,24.450000,32.480000,3.096000,1.354808,1.789867,2.339572,1.532044
2025-11-03,24.910000,30.790000,1.979500,1.002949,1.033400,1.137624,1.048436
2025-11-04,25.540000,33.860000,3.940100,1.256855,1.864553,3.569256,2.136544
2025-11-05,24.630000,32.300000,3.632600,1.215018,1.882997,3.347886,2.024570
2025-11-06,22.140000,28.800000,3.846200,1.308622,2.157081,3.492370,2.063215
2025-11-07,21.850000,29.150000,3.857300,1.365411,1.838145,3.382768,2.257341
2025-11-08,22.160000,29.180000,3.983500,1.302231,2.231336,3.848513,2.174237
2025-11-09,23.330000,30.650000,3.887000,1.265536,2.379262,3.805137,2.082225
2025-11-10,23.560000,31.360000,3.667000,1.377318,1.888363,3.220319,2.254611
2025-11-11,20.920000,27.250000,4.002500,1.149922,2.272504,4.143996,2.155841
2025-11-12,19.600000,26.310000,3.823200,1.353611,2.552216,3.864907,1.891685
2025-11-13,19.360000,25.710000,3.881500,1.087323,2.313640,4.302739,2.260649
2025-11-14,18.270000,23.740000,3.458400,1.165485,2.138414,3.566328,1.972387
2025-11-15,18.380000,25.690000,3.901000,1.096181,2.488931,4.411589,2.058327
2025-11-16,19.090000,25.350000,3.783100,1.214427,2.187121,4.000853,2.248712
2025-11-17,18.790000,25.550000,4.140500,0.958617,2.369444,5.049743,2.344927
2025-11-18,18.500000,26.650000,4.000800,1.006614,2.263819,4.715894,2.230122
2025-11-19,20.820000,30.070000,3.782400,1.094449,1.906833,4.111580,2.133985
2025-11-20,22.260000,30.630000,3.571700,1.048090,1.635149,3.978501,2.297979
2025-11-21,24.120000,33.380000,3.520300,1.092241,1.572008,3.769198,2.163500
2025-11-22,24.820000,33.990000,3.912700,1.040181,2.004528,4.574189,2.208145
2025-11-23,24.610000,33.780000,3.602400,1.139309,2.072190,3.961386,2.006448
2025-11-24,20.570000,26.460000,2.707900,1.104372,1.324762,2.374064,1.652198
2025-11-25,18.150000,24.050000,3.721900,0.977067,2.278994,4.758943,2.370814
2025-11-26,17.150000,23.890000,3.636000,0.966145,2.576660,4.749627,2.017949
